Data,Hora,Amostra,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperatura
29/07/25,13:00:27,1,15344,5820,1204,-134,551,-269,26.91
29/07/25,13:00:28,2,15052,6332,1856,211,-360,189,26.95
29/07/25,13:00:29,3,15072,6356,2108,-347,-274,283,26.95
29/07/25,13:00:30,4,15144,6424,1832,-1000,-438,-75,26.91
29/07/25,13:00:31,5,15144,6356,1972,-136,-209,113,27.09
29/07/25,13:00:32,6,15084,6328,1912,-694,-551,-109,26.67
29/07/25,13:00:33,7,14904,6672,2412,1,-637,-536,26.95
29/07/25,13:00:34,8,14900,6736,2184,-701,-254,123,27.00
29/07/25,13:00:35,9,14904,6680,2268,-615,-129,33,27.00
29/07/25,13:00:36,10,14964,6696,2216,-153,-180,108,26.95
29/07/25,13:00:37,11,14872,6708,2348,-12,-285,129,26.76
29/07/25,13:00:38,12,14900,6680,2412,-194,-116,61,26.76
29/07/25,13:00:39,13,14908,6696,2332,2522,451,643,27.19
29/07/25,13:00:40,14,14880,6708,2340,1079,-73,370,26.91
29/07/25,13:00:41,15,14676,7116,2504,-294,68,208,27.00
29/07/25,13:00:43,16,14696,7168,2408,792,-546,700,26.76
29/07/25,13:00:44,17,14716,6856,3004,2040,209,372,27.00
29/07/25,13:00:45,18,14708,6980,2376,-1290,-240,-599,26.91
29/07/25,13:00:46,19,14624,7140,2580,-151,-545,-17,26.91
29/07/25,13:00:47,20,14712,7080,2612,-404,-272,123,27.14
29/07/25,13:00:48,21,14548,7252,2704,-147,-275,450,27.00
29/07/25,13:00:49,22,15816,4592,220,5064,-6440,7605,27.09
29/07/25,13:00:50,23,14068,-888,-8264,-131,-340,110,27.00
29/07/25,13:00:51,24,14164,-736,-8280,-178,-301,90,26.81
29/07/25,13:00:52,25,14088,-788,-8256,-157,-293,75,26.95
29/07/25,13:00:53,26,14124,-820,-8200,-141,-300,84,26.81
29/07/25,13:00:54,27,14132,-780,-8276,-192,-337,54,26.95
29/07/25,13:00:55,28,14072,-732,-8252,-159,-230,120,26.67
29/07/25,13:00:56,29,14068,-816,-8320,-149,-227,128,26.95
29/07/25,13:00:58,30,14144,-720,-8360,-130,-242,91,27.09
29/07/25,13:00:59,31,14136,-708,-8164,-180,-254,99,26.81
29/07/25,13:01:00,32,14032,-772,-8204,-192,-302,25,27.00
29/07/25,13:01:01,33,14088,-636,-8156,-120,-224,134,26.81
29/07/25,13:01:02,34,14044,-596,-8244,-154,-272,101,26.91
29/07/25,13:01:03,35,14068,-612,-8136,-150,-308,55,27.09
29/07/25,13:01:04,36,14088,-648,-8284,-163,-311,117,26.91
29/07/25,13:01:05,37,14088,-572,-8376,-193,-210,80,27.09
29/07/25,13:01:06,38,14016,-680,-8268,-136,-225,99,26.95
29/07/25,13:01:07,39,14112,-672,-8436,-149,-276,126,27.14
29/07/25,13:01:08,40,13996,-664,-8156,-215,-254,101,27.00
29/07/25,13:01:09,41,14040,-576,-8224,-154,-222,114,27.00
29/07/25,13:01:10,42,14076,-640,-8328,-135,-166,84,26.95
29/07/25,13:01:11,43,14108,-636,-8192,-196,-264,81,26.95
29/07/25,13:01:12,44,14112,-596,-8240,-190,-270,21,26.81
29/07/25,13:01:14,45,14040,-636,-8268,-146,-218,90,26.91
29/07/25,13:01:15,46,14012,-612,-8136,-179,-234,80,26.67
29/07/25,13:01:16,47,14212,-520,-8196,-176,-193,52,26.95
29/07/25,13:01:17,48,14096,-656,-8292,-116,-212,93,27.09
29/07/25,13:01:18,49,14056,-648,-8440,-164,-260,127,26.76
29/07/25,13:01:19,50,14064,-620,-8196,-199,-305,73,26.95
29/07/25,13:01:20,51,14132,-596,-8320,-160,-264,111,26.76
29/07/25,13:01:21,52,14116,-632,-8448,-165,-268,93,26.81
29/07/25,13:01:22,53,14084,-596,-8260,-151,-257,75,27.00
29/07/25,13:01:23,54,14072,-648,-8176,-152,-245,81,26.91
29/07/25,13:01:24,55,14048,-620,-8436,-179,-274,76,26.91
29/07/25,13:01:25,56,14108,-632,-8276,-135,-146,114,26.76
29/07/25,13:01:26,57,14064,-560,-8296,-193,-253,52,26.67
29/07/25,13:01:27,58,13988,-684,-8364,-166,-316,73,26.91
29/07/25,13:01:28,59,14084,-596,-8268,-194,-303,54,26.76
29/07/25,13:01:30,60,14088,-484,-8368,-194,-219,68,26.91
29/07/25,13:01:31,61,14076,-584,-8304,-128,-250,112,27.00
29/07/25,13:01:32,62,14084,-588,-8304,-150,-288,63,26.91
29/07/25,13:01:33,63,14108,-536,-8400,-209,-294,94,26.95
29/07/25,13:01:34,64,14060,-668,-8284,-150,-280,81,26.95
29/07/25,13:01:35,65,14064,-612,-8208,-199,-312,84,26.95
29/07/25,13:01:36,66,14224,-496,-8332,-172,-262,76,26.76
29/07/25,13:01:37,67,14056,-584,-8416,-155,-190,90,26.91
29/07/25,13:01:38,68,14008,-640,-8248,-127,-222,117,26.76
29/07/25,13:01:39,69,14060,-540,-8336,-147,-194,102,26.76
29/07/25,13:01:40,70,14172,-576,-8264,-159,-213,69,26.91
29/07/25,13:01:41,71,14052,-644,-8252,-175,-296,53,27.09
29/07/25,13:01:42,72,14140,-600,-8236,-142,-214,91,26.95
29/07/25,13:01:43,73,14120,-552,-8248,-154,-196,118,26.81
29/07/25,13:01:45,74,14032,-592,-8336,-160,-267,111,26.81
29/07/25,13:01:46,75,14080,-600,-8316,-184,-254,98,26.76
29/07/25,13:01:47,76,14108,-488,-8288,-157,-202,77,26.91
29/07/25,13:01:48,77,14036,-652,-8296,-149,-250,101,26.81
29/07/25,13:01:49,78,14016,-572,-8320,-171,-277,89,26.95
29/07/25,13:01:50,79,14104,-528,-8208,-195,-231,106,26.81
29/07/25,13:01:51,80,14120,-560,-8336,-171,-298,46,26.67
29/07/25,13:01:52,81,14052,-560,-8272,-141,-212,108,26.95
29/07/25,13:01:53,82,14152,-524,-8300,-172,-321,97,26.95
29/07/25,13:01:54,83,14148,-624,-8240,-150,-291,79,26.76
29/07/25,13:01:55,84,14000,-564,-8336,-149,-289,92,26.81
29/07/25,13:01:56,85,14072,-580,-8216,-148,-279,57,26.91
29/07/25,13:01:57,86,14148,-596,-8220,-194,-289,68,26.95
29/07/25,13:01:58,87,14072,-624,-8272,-165,-242,100,27.09
29/07/25,13:01:59,88,14016,-612,-8256,-142,-238,97,26.95
29/07/25,13:02:01,89,14056,-608,-8248,-164,-234,64,27.09
29/07/25,13:02:02,90,14104,-592,-8252,-130,-264,105,26.95
29/07/25,13:02:03,91,14232,-568,-8356,-161,-166,73,27.09
29/07/25,13:02:04,92,14096,-564,-8184,-164,-182,87,26.76
29/07/25,13:02:05,93,14012,-544,-8316,-149,-253,115,26.62
29/07/25,13:02:06,94,14072,-608,-8280,-193,-326,43,26.91
29/07/25,13:02:07,95,14036,-548,-8272,-204,-289,35,27.00
29/07/25,13:02:08,96,13996,-572,-8312,-165,-298,85,27.09
29/07/25,13:02:09,97,14040,-652,-8304,-133,-262,119,26.95
29/07/25,13:02:10,98,14100,-536,-8236,-182,-320,14,26.95
29/07/25,13:02:11,99,14008,-604,-8228,-144,-259,93,26.91
29/07/25,13:02:12,100,14020,-604,-8300,-143,-238,99,26.95
29/07/25,13:02:13,101,14044,-588,-8180,-178,-260,59,26.76
29/07/25,13:02:14,102,14080,-580,-8360,-183,-210,66,26.76
29/07/25,13:02:15,103,13964,-568,-8288,-141,-252,83,26.81
29/07/25,13:02:17,104,14028,-548,-8348,-200,-205,97,26.91
29/07/25,13:02:18,105,14152,-544,-8280,-199,-273,130,26.91
29/07/25,13:02:19,106,14020,-644,-8280,-141,-201,80,26.67
29/07/25,13:02:20,107,13996,-636,-8368,-146,-215,79,26.91
29/07/25,13:02:21,108,14100,-536,-8384,-178,-230,55,26.91
29/07/25,13:02:22,109,14048,-564,-8340,-161,-353,102,26.76
29/07/25,13:02:23,110,14064,-676,-8380,-135,-260,87,26.81
29/07/25,13:02:24,111,14076,-552,-8200,-239,-307,12,26.91
29/07/25,13:02:25,112,14012,-588,-8340,-128,-230,114,26.95
29/07/25,13:02:26,113,14064,-580,-8236,-135,-318,112,26.62
29/07/25,13:02:27,114,14020,-520,-8268,-155,-308,78,26.67
29/07/25,13:02:28,115,14036,-484,-8144,-143,-289,82,26.95
29/07/25,13:02:29,116,14116,-616,-8376,-152,-274,131,26.76
29/07/25,13:02:30,117,14152,-452,-8248,-201,-190,93,26.95
29/07/25,13:02:32,118,14040,-500,-8340,-163,-215,54,26.95
29/07/25,13:02:33,119,14104,-576,-8344,-111,-244,132,26.62
29/07/25,13:02:34,120,14048,-536,-8368,-166,-201,86,26.95
29/07/25,13:02:35,121,14108,-500,-8268,-163,-270,84,26.95
29/07/25,13:02:36,122,14108,-548,-8452,-133,-223,123,26.91
29/07/25,13:02:37,123,14032,-576,-8292,-162,-247,80,26.67
29/07/25,13:02:38,124,14116,-492,-8280,-122,-185,122,26.95
29/07/25,13:02:39,125,13996,-604,-8364,-129,-293,118,26.91
29/07/25,13:02:40,126,14072,-552,-8232,-182,-301,78,26.67
29/07/25,13:02:41,127,14100,-460,-8120,-209,-160,79,26.81
29/07/25,13:02:42,128,14100,-544,-8280,-136,-258,95,26.76
29/07/25,13:02:43,129,14080,-648,-8240,-144,-297,84,26.95
29/07/25,13:02:44,130,14124,-472,-8180,-193,-246,57,26.95
29/07/25,13:02:45,131,14132,-484,-8208,-175,-221,72,26.81
29/07/25,13:02:46,132,14016,-576,-8348,-105,-323,120,26.62
29/07/25,13:02:48,133,13988,-552,-8244,-144,-304,56,26.81
29/07/25,13:02:49,134,14076,-464,-8284,-184,-273,46,26.81
29/07/25,13:02:50,135,14068,-584,-8432,-106,-256,93,26.95
29/07/25,13:02:51,136,14032,-584,-8336,-98,-209,157,26.95
29/07/25,13:02:52,137,14036,-620,-8284,-133,-283,111,26.62
29/07/25,13:02:53,138,14132,-604,-8272,-169,-244,98,26.62
29/07/25,13:02:54,139,14096,-532,-8324,-198,-225,95,26.58
29/07/25,13:02:55,140,14076,-488,-8300,-214,-290,96,26.95
29/07/25,13:02:56,141,14100,-620,-8236,-158,-296,98,26.76
29/07/25,13:02:57,142,14060,-608,-8264,-225,-217,21,26.95
29/07/25,13:02:58,143,14056,-528,-8224,-149,-230,133,26.76
29/07/25,13:02:59,144,14052,-596,-8236,-140,-242,52,26.91
29/07/25,13:03:00,145,14080,-560,-8272,-128,-172,84,26.91
29/07/25,13:03:01,146,14052,-508,-8320,-153,-179,116,26.91
29/07/25,13:03:03,147,14100,-568,-8412,-143,-325,122,26.62
29/07/25,13:03:04,148,14060,-560,-8332,-165,-205,74,26.95
29/07/25,13:03:05,149,14124,-428,-8224,-177,-248,64,26.91
29/07/25,13:03:06,150,14052,-584,-8316,-161,-228,136,26.62
29/07/25,13:03:07,151,14068,-588,-8240,-144,-248,104,27.09
29/07/25,13:03:08,152,14052,-484,-8224,-208,-347,48,26.81
29/07/25,13:03:09,153,14036,-580,-8384,-167,-294,97,26.58
29/07/25,13:03:10,154,14028,-560,-8344,-118,-251,89,26.62
29/07/25,13:03:11,155,14128,-524,-8244,-179,-245,70,26.81
29/07/25,13:03:12,156,14072,-516,-8336,-199,-320,48,26.91
29/07/25,13:03:13,157,14112,-552,-8360,-198,-290,64,26.62
29/07/25,13:03:14,158,14036,-536,-8188,-164,-207,95,26.76
29/07/25,13:03:15,159,14084,-512,-8288,-184,-210,121,26.76
29/07/25,13:03:16,160,14068,-564,-8352,-146,-221,92,27.14
29/07/25,13:03:17,161,14060,-460,-8216,-180,-259,43,26.67
29/07/25,13:03:19,162,14092,-468,-8164,-149,-133,144,26.67
29/07/25,13:03:20,163,14020,-516,-8276,-163,-296,98,26.91
29/07/25,13:03:21,164,14140,-512,-8392,-156,-227,113,26.91
29/07/25,13:03:22,165,14032,-480,-8200,-184,-261,81,26.67
29/07/25,13:03:23,166,13988,-512,-8228,-138,-190,122,26.67
29/07/25,13:03:24,167,14088,-568,-8376,-168,-286,109,26.62
29/07/25,13:03:25,168,14080,-496,-8236,-197,-341,18,26.76
29/07/25,13:03:26,169,13992,-620,-8280,-171,-265,97,26.76
29/07/25,13:03:27,170,14116,-572,-8328,-174,-248,102,26.95
29/07/25,13:03:28,171,14140,-524,-8284,-167,-302,12,26.81
29/07/25,13:03:29,172,14064,-460,-8252,-168,-285,86,26.76
29/07/25,13:03:30,173,14056,-572,-8256,-153,-235,80,26.62
29/07/25,13:03:31,174,14148,-512,-8260,-167,-165,97,26.67
29/07/25,13:03:32,175,14100,-504,-8316,-180,-223,133,26.67
29/07/25,13:03:33,176,14096,-556,-8396,-145,-321,66,26.62
29/07/25,13:03:35,177,14092,-540,-8272,-192,-349,47,26.76
29/07/25,13:03:36,178,14100,-472,-8388,-166,-245,61,26.95
29/07/25,13:03:37,179,14068,-584,-8376,-164,-262,131,26.76
29/07/25,13:03:38,180,14088,-500,-8296,-178,-190,98,26.81
29/07/25,13:03:39,181,14112,-392,-8200,-172,-245,48,26.81
29/07/25,13:03:40,182,14100,-444,-8168,-168,-249,75,26.67
29/07/25,13:03:41,183,14072,-532,-8304,-131,-232,126,26.81
29/07/25,13:03:42,184,14076,-464,-8244,-164,-173,97,26.67
29/07/25,13:03:43,185,14064,-548,-8396,-112,-207,88,26.91
29/07/25,13:03:44,186,13972,-372,-8048,-534,15,-605,26.91
29/07/25,13:03:45,187,13932,-448,-8140,-127,-226,176,26.76
29/07/25,13:03:46,188,13984,-416,-8364,-160,-278,133,26.91
29/07/25,13:03:47,189,13972,-528,-8220,-158,-303,67,26.95
29/07/25,13:03:48,190,14020,-380,-8384,-159,-193,72,26.91
29/07/25,13:03:50,191,14072,-428,-8336,-143,-230,126,26.76
29/07/25,13:03:51,192,13992,-500,-8400,-137,-312,97,26.76
29/07/25,13:03:52,193,14064,-340,-8284,-174,-248,55,26.81
29/07/25,13:03:53,194,14064,-396,-8292,-140,-283,108,26.58
29/07/25,13:03:54,195,14024,-372,-8384,-128,-190,130,26.76
29/07/25,13:03:55,196,13980,-376,-8408,-187,-237,71,26.67
29/07/25,13:03:56,197,14060,-324,-8400,-186,-284,86,26.81
29/07/25,13:03:57,198,14068,-464,-8384,-165,-339,90,26.91
29/07/25,13:03:58,199,13996,-448,-8312,-172,-259,66,26.62
29/07/25,13:03:59,200,14072,-356,-8340,-160,-246,78,26.81
29/07/25,13:04:00,201,14140,-404,-8332,-168,-288,84,26.58
29/07/25,13:04:01,202,14128,-468,-8400,-155,-289,96,26.91
29/07/25,13:04:02,203,14072,-392,-8272,-196,-247,42,27.00
29/07/25,13:04:03,204,14028,-384,-8224,-183,-235,89,26.95
29/07/25,13:04:04,205,14084,-332,-8168,-175,-251,84,26.76
29/07/25,13:04:06,206,13960,-476,-8248,-124,-259,136,26.67
29/07/25,13:04:07,207,14152,-492,-8224,-160,-263,67,26.91
29/07/25,13:04:08,208,14060,-344,-8208,-181,-259,60,26.91
29/07/25,13:04:09,209,14020,-404,-8336,-133,-273,102,26.95
29/07/25,13:04:10,210,14020,-496,-8288,-154,-270,97,26.62
29/07/25,13:04:11,211,14088,-380,-8228,-142,-209,93,26.67
29/07/25,13:04:12,212,14080,-372,-8224,-172,-283,61,26.81
29/07/25,13:04:13,213,14012,-392,-8408,-153,-247,78,26.91
29/07/25,13:04:14,214,14088,-400,-8188,-218,-320,37,26.67
29/07/25,13:04:15,215,14028,-448,-8240,-179,-274,70,26.91
29/07/25,13:04:16,216,13996,-448,-8348,-172,-283,77,26.67
29/07/25,13:04:17,217,14060,-396,-8348,-150,-262,88,26.62
29/07/25,13:04:18,218,14036,-308,-8184,-203,-315,62,26.62
29/07/25,13:04:19,219,14020,-408,-8352,-137,-268,113,26.67
29/07/25,13:04:20,220,14060,-492,-8516,-158,-266,99,26.58
29/07/25,13:04:22,221,14128,-384,-8304,-174,-234,73,26.67
29/07/25,13:04:23,222,14004,-432,-8316,-125,-276,71,26.91
29/07/25,13:04:24,223,14116,-436,-8408,-178,-305,66,26.81
29/07/25,13:04:25,224,14084,-340,-8276,-173,-288,73,26.91
29/07/25,13:04:26,225,14048,-452,-8204,-171,-298,80,26.67
29/07/25,13:04:27,226,14028,-428,-8348,-173,-299,76,26.76
29/07/25,13:04:28,227,14048,-380,-8356,-197,-243,99,26.58
29/07/25,13:04:29,228,14052,-404,-8280,-180,-268,74,26.67
29/07/25,13:04:30,229,14028,-420,-8436,-160,-291,83,26.67
29/07/25,13:04:31,230,14072,-344,-8328,-189,-270,52,26.76
29/07/25,13:04:32,231,14032,-424,-8296,-190,-247,112,26.67
29/07/25,13:04:33,232,14032,-448,-8376,-168,-287,100,26.91
29/07/25,13:04:34,233,14008,-364,-8412,-175,-310,55,26.81
29/07/25,13:04:35,234,14076,-420,-8280,-166,-270,97,26.81
29/07/25,13:04:37,235,14072,-416,-8380,-165,-301,100,26.62
29/07/25,13:04:38,236,14020,-448,-8408,-148,-248,102,26.76
29/07/25,13:04:39,237,14152,-372,-8396,-213,-316,57,26.91
29/07/25,13:04:40,238,13984,-304,-8448,-125,-242,83,26.95
29/07/25,13:04:41,239,14060,-516,-8348,-151,-295,80,26.81
29/07/25,13:04:42,240,14056,-308,-8388,-139,-214,60,26.62
29/07/25,13:04:43,241,14028,-428,-8336,-155,-256,81,26.81
29/07/25,13:04:44,242,14068,-420,-8352,-156,-296,51,26.76
29/07/25,13:04:45,243,14012,-312,-8268,-201,-300,66,26.95
29/07/25,13:04:46,244,14056,-340,-8392,-154,-263,51,26.62
29/07/25,13:04:47,245,13984,-500,-8324,-155,-275,92,27.00
29/07/25,13:04:48,246,14032,-408,-8368,-170,-214,68,26.62
29/07/25,13:04:49,247,14024,-376,-8292,-172,-253,83,26.81
29/07/25,13:04:50,248,14040,-416,-8400,-145,-230,88,26.81
29/07/25,13:04:51,249,14020,-384,-8292,-191,-246,77,26.67
29/07/25,13:04:53,250,14044,-336,-8320,-176,-236,72,26.81
29/07/25,13:04:54,251,14016,-424,-8388,-172,-251,120,26.81
29/07/25,13:04:55,252,14008,-444,-8320,-172,-254,55,26.76
29/07/25,13:04:56,253,14064,-344,-8264,-203,-300,59,26.67
29/07/25,13:04:57,254,13968,-292,-8352,-186,-235,65,26.95
29/07/25,13:04:58,255,14132,-468,-8412,-111,-302,104,26.91
29/07/25,13:04:59,256,14164,-416,-8340,-165,-224,80,26.91
29/07/25,13:05:00,257,14116,-360,-8372,-169,-208,69,26.44
29/07/25,13:05:01,258,14044,-396,-8308,-161,-240,89,26.95
29/07/25,13:05:02,259,14008,-440,-8324,-140,-291,78,26.95
29/07/25,13:05:03,260,14072,-352,-8272,-196,-265,57,26.91
29/07/25,13:05:04,261,14044,-352,-8248,-129,-258,111,26.76
29/07/25,13:05:05,262,14044,-432,-8336,-159,-287,109,26.67
29/07/25,13:05:06,263,14052,-316,-8276,-187,-276,71,26.76
29/07/25,13:05:08,264,14068,-364,-8332,-184,-243,74,26.67
29/07/25,13:05:09,265,13976,-336,-8244,-196,-243,99,26.81
29/07/25,13:05:10,266,14076,-420,-8308,-185,-314,49,26.81
29/07/25,13:05:11,267,14104,-376,-8272,-193,-290,47,26.91
29/07/25,13:05:12,268,14152,-396,-8364,-168,-273,85,26.67
29/07/25,13:05:13,269,14048,-400,-8380,-143,-230,72,26.62
29/07/25,13:05:14,270,14064,-344,-8272,-168,-243,83,26.62
29/07/25,13:05:15,271,14068,-384,-8296,-145,-336,114,26.67
29/07/25,13:05:16,272,14044,-440,-8452,-155,-264,108,26.76
29/07/25,13:05:17,273,14076,-320,-8392,-178,-227,76,26.58
29/07/25,13:05:18,274,14008,-400,-8196,-180,-242,92,26.62
29/07/25,13:05:19,275,14016,-356,-8312,-207,-283,66,26.67
29/07/25,13:05:20,276,14020,-456,-8308,-192,-280,47,26.76
29/07/25,13:05:21,277,14112,-284,-8404,-203,-237,70,26.76
29/07/25,13:05:22,278,14056,-384,-8208,-152,-212,92,26.81
29/07/25,13:05:24,279,14072,-412,-8332,-178,-279,57,26.58
29/07/25,13:05:25,280,14076,-364,-8308,-166,-215,78,26.58
29/07/25,13:05:26,281,14100,-316,-8320,-147,-247,89,26.91
29/07/25,13:05:27,282,13992,-432,-8348,-119,-254,108,26.58
29/07/25,13:05:28,283,14088,-372,-8316,-184,-289,49,26.81
29/07/25,13:05:29,284,14056,-352,-8312,-130,-263,78,26.91
29/07/25,13:05:30,285,14004,-360,-8456,-153,-263,99,26.91
29/07/25,13:05:31,286,14056,-344,-8328,-175,-217,60,26.81
29/07/25,13:05:32,287,14144,-392,-8252,-167,-281,51,26.62
29/07/25,13:05:33,288,13988,-384,-8296,-166,-292,99,26.91
29/07/25,13:05:34,289,14008,-364,-8240,-222,-251,73,26.58
29/07/25,13:05:35,290,14124,-308,-8240,-142,-214,108,26.76
29/07/25,13:05:36,291,13916,-448,-8384,-115,-225,132,26.58
29/07/25,13:05:37,292,14076,-404,-8280,-175,-282,90,26.91
29/07/25,13:05:38,293,14052,-364,-8296,-167,-229,85,26.76
29/07/25,13:05:40,294,14116,-324,-8360,-171,-232,96,26.95
29/07/25,13:05:41,295,14052,-352,-8348,-99,-208,123,26.95
29/07/25,13:05:42,296,14008,-412,-8364,-153,-265,78,26.67
29/07/25,13:05:43,297,14032,-336,-8356,-176,-224,88,26.81
29/07/25,13:05:44,298,14020,-340,-8304,-170,-234,56,26.91
29/07/25,13:05:45,299,14000,-416,-8476,-142,-265,106,26.67
29/07/25,13:05:46,300,13952,-336,-8436,-160,-276,60,26.67
29/07/25,13:05:47,301,14148,-332,-8148,-171,-287,90,26.58
29/07/25,13:05:48,302,14048,-380,-8412,-139,-313,93,26.76
29/07/25,13:05:49,303,14028,-352,-8360,-218,-248,6,26.81
29/07/25,13:05:50,304,14176,-292,-8368,-218,-252,12,26.67
29/07/25,13:05:51,305,14060,-384,-8240,-166,-335,76,26.76
29/07/25,13:05:52,306,14236,-468,-8280,-145,-347,62,26.67
29/07/25,13:05:53,307,14016,-308,-8396,-182,-182,101,26.95
29/07/25,13:05:55,308,14008,-288,-8348,-127,-253,110,26.62
29/07/25,13:05:56,309,13956,-428,-8416,-175,-301,104,26.67
29/07/25,13:05:57,310,14096,-356,-8308,-182,-273,55,26.62
29/07/25,13:05:58,311,14040,-416,-8444,-172,-225,110,26.62
29/07/25,13:05:59,312,13984,-392,-8360,-170,-264,69,26.76
29/07/25,13:06:00,313,14016,-316,-8400,-170,-276,49,26.76
29/07/25,13:06:01,314,14064,-372,-8232,-187,-274,111,26.58
29/07/25,13:06:02,315,13980,-416,-8368,-171,-290,103,26.81
29/07/25,13:06:03,316,14060,-304,-8320,-157,-272,60,26.67
29/07/25,13:06:04,317,13992,-288,-8244,-160,-223,56,26.81
29/07/25,13:06:05,318,14060,-412,-8272,-164,-241,94,26.67
29/07/25,13:06:06,319,14160,-428,-8380,-166,-197,96,26.67
29/07/25,13:06:07,320,14056,-288,-8380,-218,-245,89,26.91
29/07/25,13:06:08,321,14056,-372,-8356,-199,-343,83,26.91
29/07/25,13:06:09,322,14088,-380,-8332,-133,-278,103,26.76
29/07/25,13:06:11,323,14060,-300,-8256,-234,-307,67,26.58
29/07/25,13:06:12,324,14060,-388,-8240,-128,-193,115,26.91
29/07/25,13:06:13,325,14072,-356,-8332,-164,-306,76,26.91
29/07/25,13:06:14,326,14084,-280,-8388,-180,-223,90,26.91
29/07/25,13:06:15,327,14120,-296,-8232,-163,-207,88,26.76
29/07/25,13:06:16,328,14020,-372,-8300,-153,-232,105,26.48
